type,url,current_title,current_h1,new_status
city,/speech-therapist-beckenham/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-belvedere/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-bexley/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-bexleyheath/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-bromley/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-chislehurst/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-dartford/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-eltham/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-harley-street/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-london/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-orpington/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-petts-wood/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-sidcup/,ERR HTTP Error 403: Forbidden,,TO-BUILD
city,/speech-therapist-west-wickham/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/autism/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/behaviour/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/developmental-verbal-dyspraxia/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/dyslexia-and-working-memory/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/early-years-late-talkers/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/language-development/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/speech-sounds-development/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/stuttering/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/voice-disorders-dysphonia/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/about-3/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/about/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/articles/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/blog/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/book-an-appointment/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/consultation/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/contact/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/ehcp-tribunal-expert/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/events/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/faq/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/freebies/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/location/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/privacy-policy/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/service-terms/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/services/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/testimonials/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/video-resources/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/videos/,ERR HTTP Error 403: Forbidden,,TO-BUILD
core-page,/what-to-expect/,ERR HTTP Error 403: Forbidden,,TO-BUILD
homepage,/,ERR HTTP Error 403: Forbidden,,TO-BUILD
landing,/ebook-landing/,ERR HTTP Error 403: Forbidden,,TO-BUILD
landing,/instagram-landing/,ERR HTTP Error 403: Forbidden,,TO-BUILD
landing,/newsletter-landing/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/18-month-old-not-talking-when-to-worry-vs-when-to-wait/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/adhd-and-speech-delay-understanding-the-overlap-and-how-to-help/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/adhd-and-speech-language-therapy-at-articulate-kids/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/are-we-failing-girls-why-autism-often-goes-unrecognised-in-females/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/articulate-kids-5/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/articulate-kids-v2/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/articulate-kids/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/autism-vs-late-talking-how-to-tell-the-difference-expert-guide/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/connected-parent-pathway/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/courses-overview/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/event/business-events-worth-seeking-out-in-detroit/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/event/change-your-body-mind-finances/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/event/news-in-special-events-for-may/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/event/unleash-the-power-within/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/harley-street-assessment-services-for-children-and-young-people-ages-2-18/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/helping-children-with-autism-understanding-and-managing-food-aversions/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/how-diet-affects-your-childs-speech-language-and-attention-a-speech-therapists-guide/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/late-talking-signs-in-toddlers-red-flags-vs-normal-variation/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/phonological-awareness-vs-phonological-memory-whats-the-difference-and-why-it-matters/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/portfolio/business-coaching/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/portfolio/business-management/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/portfolio/career-coaching/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/portfolio/financial-coaching/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/portfolio/health-coaching/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/portfolio/instruction/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/portfolio/professional-coaching/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/portfolio/tech-ideas/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/portfolio/website-functional/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/potty-training-for-neurodivergent-children-a-gentle-sensory-informed-approach/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/sleep-and-childrens-development-how-rest-affects-attention-behaviour-and-communication/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/speech-sounds-production-help/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/speech-therapy-for-toddlers-what-really-happens-a-parents-guide/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/the-alarming-decline-in-childrens-motor-skills-why-movement-matters-more-than-ever/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/tips-to-develop-a-brainy-chatty-baby/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/tips-to-help-stammering-stuttering-in-under-5s/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/verbal-dyspraxia-in-children-signs-support-and-speech-therapy-solutions/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/when-should-my-child-start-talking-age-by-age-speech-milestones/,ERR HTTP Error 403: Forbidden,,TO-BUILD
post,/working-memory-and-dyslexia-what-every-parent-should-know/,ERR HTTP Error 403: Forbidden,,TO-BUILD
condition,/conditions-help/adhd/,(NEW) ADHD | Articulate Kids,ADHD,BUILT (new design: condition-adhd.html)
